namespace,classification,file_count,total_bytes,markdown_count,json_count,canvas_count,extension_counts,tree_fingerprint,canonical_authority_claimed
docs/strategy_factory/11_runbooks,DOMAIN_DOCUMENTATION_CANDIDATE,6,10684,6,0,0,"{"".md"":6}",sha256:8beee2f01249954277551e3fef819eaa566dc45ac68b9a1bd5a8f39b641a4315,false
docs/strategy_factory/12_examples,DOMAIN_DOCUMENTATION_CANDIDATE,5,4457,5,0,0,"{"".md"":5}",sha256:0072600ab3609dce1bd30189d746e528edc9240f8ab2855a07322c5799431061,false
docs/strategy_factory/13_templates,DOMAIN_DOCUMENTATION_CANDIDATE,16,7126,16,0,0,"{"".md"":16}",sha256:468429b0619855baa6db33a9cd74a6e4c79b2da5f5119c8341f6f34ae1d64738,false
docs/strategy_factory/14_indexes,DOMAIN_DOCUMENTATION_CANDIDATE,2,2275,2,0,0,"{"".md"":2}",sha256:e8a35ce809908ca263ce3ccc3c9d9c80c879509957d76cd9f990617e1624c436,false
docs/strategy_factory_context_intelligence_edge_discovery_v3,DOMAIN_DOCUMENTATION_CANDIDATE,805,1524784,711,36,2,"{"".canvas"":2,"".json"":36,"".md"":711,"".yaml"":56}",sha256:ee702a99ce09e96baf7ad7d789f90ea47122b413d3f31d0e4b6db6ab0186d57c,false
docs/strategy_factory_implementation,DOMAIN_DOCUMENTATION_CANDIDATE,1063,1965273,1051,0,12,"{"".canvas"":12,"".md"":1051}",sha256:b4e558d3e03b98a025a0b5e12661efb080b24945ad80fbd5e7542003cf34b9c3,false
docs/strategy_factory_implementation_roadmap,DOMAIN_DOCUMENTATION_CANDIDATE,46,81222,46,0,0,"{"".md"":46}",sha256:bb42805e675800fe1b837077448925283a45a72408f18d2b77d8308679391184,false
docs/strategy_factory_setup_ai_edge_discovery,DOMAIN_DOCUMENTATION_CANDIDATE,98,109872,89,0,1,"{"".canvas"":1,"".md"":89,"".yaml"":8}",sha256:fb843d1a962604c31f99913eac87a1bc573ede1c7d4e54322100fa314d73b14a,false
docs/strategy_factory_setup_ai_edge_discovery_institutional_v2,DOMAIN_DOCUMENTATION_CANDIDATE,297,703689,254,16,1,"{"".canvas"":1,"".json"":16,"".md"":254,"".yaml"":26}",sha256:8185652e955c51c6073aa73d4d4acafe3702e4b8c470d29582e4e0cd48bf55b6,false
docs/strategy_factory_sovereign_context_intelligence_v4,DOMAIN_DOCUMENTATION_CANDIDATE,7813,18357973,7643,71,3,"{"".canvas"":3,"".json"":71,"".md"":7643,"".yaml"":96}",sha256:95e5ccebd846451e148ca5e9f21f5b9916f553c94926bef2df5247d1cd0d30a7,false
docs/strategy_factory_universal_context_exploitation_engine,DOMAIN_DOCUMENTATION_CANDIDATE,989,4471818,987,0,2,"{"".canvas"":2,"".md"":987}",sha256:82dd8ffc5f44651b4261e012680d2970f0ed52cde275dc09e55ed164dafabab4,false
docs/strategy_factory_v2,DOMAIN_DOCUMENTATION_CANDIDATE,90,118287,90,0,0,"{"".md"":90}",sha256:77cefc5a9046757ce76be617cec3b6cbaffb52781d4d7478d0a67321bb8dec9b,false
docs/ui,DOMAIN_DOCUMENTATION_CANDIDATE,6,28405,6,0,0,"{"".md"":6}",sha256:1b48032109fd6259839d73e85c19c9907bda34cb47ae1bb1ecd9102b2658e226,false
docs/zone_af,DOMAIN_DOCUMENTATION_CANDIDATE,2,18053,2,0,0,"{"".md"":2}",sha256:8a50fb26144ebe58319458bb514e64073c5b049d3958f06b56861aa8767d3b66,false
